"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_NEWARK";"SPICEPREFIX";
"20";"10k";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22";"RESISTOR, European symbol";"";"";"";"603-RC0805FR-0710KL";"";"R";
"8";"10nF";"C-EUC0805";"C0805";"C2, C3, C4, C5, C11, C12, C15, C16";"CAPACITOR, European symbol";"";"";"";"710-885012207072";"";"C";
"4";"1µF";"C-EUC0805";"C0805";"C8, C9, C17, C18";"CAPACITOR, European symbol";"";"";"";"80-C0805C105M3R";"";"C";
"4";"22k";"R-EU_R0805";"R0805";"R11, R12, R23, R24";"RESISTOR, European symbol";"";"";"";"603-RC0805FR-0722KL";"";"R";
"4";"EC12E_SW";"EC12E_SW";"ALPS_EC12E_SW";"SW1, SW2, SW3, SW4";"ALPS rotary Encoder EC12E series with switch";"";"EC12E2424407";"1520813";"";"74M1068";"";
"1";"IGRID-14";"IGRID-14";"I-GRID-14";"X1";"";"";"";"";"";"";"";
