"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"1";"";"PINHD-1X16";"1X16";"X1";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHD-2X6";"2X06";"JP1";"PIN HEADER";"";"";"";"";"";
"1";"100nF";"C-EUC0805";"C0805";"C1";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"1k";"R-EU_R0805";"R0805";"R2";"RESISTOR, European symbol";"";"";"";"";"R";
"1";"290";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"";"";"";"";"R";
"1";"MCP23017SO";"MCP23017SO";"SO28W";"IC1";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"MICROCHIP";"MCP23017-E/SO";"1332087";"31K2958";"";
"1";"MCP4018";"MCP4018";"SC70-6L";"IC2";"";"";"";"";"";"";
"1";"MICRO-LATCH-4";"MICRO-LATCH-4";"MICRO-LATCH-4";"X2";"";"";"";"";"";"";
